"","x"
"1","131587"
"2","131594"
"3","131603"
"4","131621"
"5","131627"
"6","131584"
"7","131642"
"8","131630"
"9","131593"
"10","131620"
"11","131618"
"12","131591"
"13","131615"
"14","131567"
"15","131626"
"16","131628"
"17","131602"
"18","131577"
"19","131610"
"20","131613"
"21","131581"
"22","131629"
"23","131574"
"24","131571"
"25","131649"
"26","131564"
"27","131645"
"28","131566"
"29","131582"
"30","131607"
"31","131562"
"32","131639"
"33","131643"
"34","131622"
"35","131601"
"36","131647"
"37","131605"
"38","131586"
"39","131569"
"40","131599"
"41","131614"
"42","131575"
"43","131632"
"44","131644"
"45","131585"
"46","131578"
"47","131612"
"48","131636"
"49","Sabin2_PlasmidControl"
"50","131609"
"51","131635"
"52","131634"
"53","131640"
"54","131580"
"55","131600"
"56","131624"
"57","131557"
"58","131596"
"59","131568"
"60","131588"
"61","131619"
"62","131560"
"63","131589"
"64","131583"
"65","131559"
"66","131572"
"67","131608"
"68","131604"
"69","131641"
"70","131617"
"71","131631"
"72","131576"
"73","131654"
"74","131730"
"75","131692"
"76","131734"
"77","131739"
"78","131684"
"79","131737"
"80","131725"
"81","131657"
"82","131743"
"83","131720"
"84","131698"
"85","131659"
"86","131717"
"87","131693"
"88","131652"
"89","131685"
"90","131691"
"91","131719"
"92","131724"
"93","131663"
"94","131722"
"95","131653"
"96","131666"
"97","131669"
"98","131713"
"99","131665"
"100","131682"
"101","131710"
"102","131671"
"103","131690"
"104","131683"
"105","131733"
"106","131726"
"107","131745"
"108","131696"
"109","131658"
"110","131676"
"111","131656"
"112","131740"
"113","131679"
"114","131668"
"115","131699"
"116","131723"
"117","131686"
"118","131742"
"119","131718"
"120","131681"
"121","131746"
"122","131728"
"123","131715"
"124","131673"
"125","131695"
"126","131674"
"127","131711"
"128","131703"
"129","131716"
"130","131700"
"131","131660"
"132","131689"
"133","131712"
"134","131677"
"135","131736"
"136","131675"
"137","131714"
"138","131678"
"139","131664"
"140","131729"
"141","131727"
"142","131706"
"143","131773"
"144","131785"
"145","131779"
"146","131796"
"147","131813"
"148","131768"
"149","131804"
"150","131809"
"151","131782"
"152","131775"
"153","131817"
"154","131836"
"155","131778"
"156","131821"
"157","131753"
"158","131776"
"159","131786"
"160","131820"
"161","131772"
"162","131770"
"163","131757"
"164","131833"
"165","131838"
"166","131799"
"167","131764"
"168","131751"
"169","131823"
"170","131815"
"171","131760"
"172","131784"
"173","131766"
"174","131793"
"175","131824"
"176","131803"
"177","131762"
"178","131792"
"179","131750"
"180","131790"
"181","131842"
"182","131780"
"183","131812"
"184","131819"
"185","131749"
"186","131795"
"187","131774"
"188","131801"
"189","131797"
"190","131794"
"191","131787"
"192","131816"
"193","131831"
"194","131771"
"195","131756"
"196","131783"
"197","131758"
"198","131767"
"199","131810"
"200","131802"
"201","131843"
"202","131814"
"203","131834"
"204","131788"
"205","131791"
"206","131807"
"207","131769"
"208","131932"
"209","131907"
"210","131929"
"211","131864"
"212","131923"
"213","131865"
"214","131847"
"215","131848"
"216","131913"
"217","131901"
"218","131858"
"219","131894"
"220","131849"
"221","131889"
"222","131870"
"223","131937"
"224","131875"
"225","131910"
"226","131872"
"227","131867"
"228","131909"
"229","131915"
"230","131936"
"231","131886"
"232","131940"
"233","131871"
"234","131876"
"235","131868"
"236","131924"
"237","131899"
"238","131893"
"239","131856"
"240","131930"
"241","131857"
"242","131869"
"243","131916"
"244","131892"
"245","131890"
"246","131873"
"247","131885"
"248","131866"
"249","131933"
"250","131903"
"251","131879"
"252","131859"
"253","131860"
"254","131934"
"255","131897"
"256","131880"
"257","131898"
"258","131853"
"259","131921"
"260","131882"
"261","131917"
"262","131877"
"263","131888"
"264","131939"
"265","131900"
"266","131920"
"267","132020"
"268","131968"
"269","131950"
"270","131976"
"271","131970"
"272","131944"
"273","132003"
"274","132025"
"275","132036"
"276","132027"
"277","131966"
"278","132009"
"279","131986"
"280","131948"
"281","131983"
"282","132018"
"283","131952"
"284","131946"
"285","132024"
"286","131978"
"287","131994"
"288","132031"
"289","131989"
"290","132022"
"291","132001"
"292","132023"
"293","132021"
"294","131965"
"295","132008"
"296","131997"
"297","132013"
"298","131984"
"299","131956"
"300","131977"
"301","132034"
"302","132037"
"303","131954"
"304","131972"
"305","131969"
"306","131980"
"307","131988"
"308","132006"
"309","131985"
"310","131974"
"311","131987"
"312","131959"
"313","131949"
"314","131955"
"315","131998"
"316","131945"
"317","131958"
"318","132028"
"319","131962"
"320","131990"
"321","132016"
"322","131999"
"323","131957"
"324","131971"
"325","132053"
"326","132062"
"327","132081"
"328","132083"
"329","132050"
"330","132118"
"331","132054"
"332","132068"
"333","132113"
"334","132096"
"335","132115"
"336","132103"
"337","132098"
"338","132105"
"339","132042"
"340","132065"
"341","132095"
"342","132121"
"343","132073"
"344","132077"
"345","132059"
"346","132055"
"347","132133"
"348","132067"
"349","132056"
"350","132069"
"351","132125"
"352","132082"
"353","132123"
"354","132094"
"355","132075"
"356","132045"
"357","132134"
"358","132071"
"359","132087"
"360","132041"
"361","132131"
"362","132080"
"363","132128"
"364","132051"
"365","132074"
"366","132047"
"367","132119"
"368","132063"
"369","132084"
"370","132120"
"371","132124"
"372","132043"
"373","132122"
"374","132086"
"375","132091"
"376","132110"
"377","132046"
"378","132106"
"379","132163"
"380","132211"
"381","132197"
"382","132172"
"383","132196"
"384","132202"
"385","132203"
"386","132177"
"387","132219"
"388","132138"
"389","132167"
"390","132155"
"391","132164"
"392","132212"
"393","132156"
"394","132145"
"395","132174"
"396","132209"
"397","132151"
"398","132223"
"399","132152"
"400","132178"
"401","132208"
"402","132204"
"403","132184"
"404","132140"
"405","132190"
"406","132193"
"407","132218"
"408","132170"
"409","132176"
"410","132147"
"411","132144"
"412","132142"
"413","132192"
"414","132159"
"415","132187"
"416","132180"
"417","132168"
"418","132141"
"419","132188"
"420","132215"
"421","132169"
"422","132210"
"423","132139"
"424","132292"
"425","132275"
"426","132294"
"427","132247"
"428","132260"
"429","132253"
"430","132287"
"431","132244"
"432","132249"
"433","132301"
"434","132273"
"435","132235"
"436","132248"
"437","132237"
"438","132238"
"439","132261"
"440","132251"
"441","132290"
"442","132305"
"443","132240"
"444","132252"
"445","132256"
"446","132239"
"447","132274"
"448","132236"
"449","132265"
"450","132241"
"451","132293"
"452","132266"
"453","132285"
"454","132289"
"455","132271"
"456","132269"
"457","132288"
"458","132264"
"459","132277"
"460","132291"
"461","132313"
"462","132267"
"463","132319"
"464","132242"
"465","132325"
